order_id,source_product_name,matched_product_id,matched_product_name,match_method,score
IN_26021481,Cardamom 100gm,3947dbab-476a-4493-8a90-fe7155eddfde,Kerala Cardamom 8mm - 100gm,token_similarity,1.0
IN_26021481,black pepper 500,5e30d442-f7d6-4724-b880-bddc1cec2e94,Black Pepper Kerala - 500,token_similarity,1.0
IN_26021475,black pepper 500,5e30d442-f7d6-4724-b880-bddc1cec2e94,Black Pepper Kerala - 500,token_similarity,1.0
IN_26021475,Cardamom 50gms,,,unmatched,0.5
IN_26021475,clove 50,864b63c6-ea70-4608-92a9-d9aa47bada5c,Clove 50 gram,token_similarity,1.0
IN_26021475,Ceylon Cinnamon 50,24451b73-f350-44c7-9cde-d66010eeb55b,Ceylon True Cinnamon - 100,token_similarity,0.6667
IN_26021498,Cardamom 100gm,3947dbab-476a-4493-8a90-fe7155eddfde,Kerala Cardamom 8mm - 100gm,token_similarity,1.0
IN_26021498,Clove 100,,,unmatched,0.5
IN_26021498,black pepper 250,0086756c-42f9-4410-9315-0451ba552e21,Black Pepper Kerala - 250,token_similarity,1.0
IN_26021448,black pepper 500,5e30d442-f7d6-4724-b880-bddc1cec2e94,Black Pepper Kerala - 500,token_similarity,1.0
IN_26021448,Idukki Tamarind 500 gm,,,unmatched,0.3333
IN_26021494,Ceylon Cinnamon 200,0d60d913-c612-41ab-82ee-8cb98d65d660,Ceylon True Cinnamon 200,token_similarity,1.0
IN_26021453,Black Pepper 1kg,60d07f58-bc0b-4573-8e8d-ffab0a5aef89,Black Pepper Kerala - 100,token_similarity,0.6667
IN_26021451,Ceylon Cinnamon 200,0d60d913-c612-41ab-82ee-8cb98d65d660,Ceylon True Cinnamon 200,token_similarity,1.0
IN_26021471,Cardamom 100gm,3947dbab-476a-4493-8a90-fe7155eddfde,Kerala Cardamom 8mm - 100gm,token_similarity,1.0
IN_26021471,Clove 100,,,unmatched,0.5
IN_26021418,Cardamom 200,2ec719f5-cdd5-4246-8208-829d66596e34,Kerala Cardamom 8mm - 200,token_similarity,1.0
IN_26021418,black pepper 250,0086756c-42f9-4410-9315-0451ba552e21,Black Pepper Kerala - 250,token_similarity,1.0
IN_26021418,Ceylon Cinnamon 200,0d60d913-c612-41ab-82ee-8cb98d65d660,Ceylon True Cinnamon 200,token_similarity,1.0
